X_mean,X_std,X_rms,X_crestf,X_skew,X_kurtosis,X_max,X_min,X_p2p,Y_mean,Y_std,Y_rms,Y_crestf,Y_skew,Y_kurtosis,Y_max,Y_min,Y_p2p,freqX_1,freqY_1
0.0010617187500000008,0.2801746527338722,0.28017666441238465,4.432917361639843,0.06340168187306776,0.15815947756992532,1.242,-1.039,2.2809999999999997,0.00061640625,0.18961320137871454,0.18961420330173054,2.9322697894906358,-0.09708542385887982,-0.13507128425623405,0.556,-0.681,1.237,0.033912625470055836,0.04932477324065046
-0.0030179687499999985,0.25300241257915707,0.2530204120347803,3.4424100134667075,0.01707029059950155,-0.0030970676780048834,0.871,-0.89,1.7610000000000001,0.0002875000000000006,0.20245247937787772,0.20245268351518583,4.015753142333712,0.06695533346709825,0.2311266535401404,0.813,-0.686,1.499,0.04841838549671256,0.051311341500909234
0.0021035156249999986,0.2613805322587939,0.26138899636724383,3.775981444197039,0.09089878624820154,-0.08870270314523498,0.987,-0.849,1.8359999999999999,0.0004589843749999982,0.2140212731224831,0.21402176528480696,3.826713600414076,0.024321530526632915,-0.04750794866145647,0.819,-0.757,1.576,0.038173710337747406,0.048993133658267664
0.0025132812499999995,0.28686298827551526,0.2868739978196002,3.52419531809838,-0.06258700452973899,0.09214413161127677,1.011,-1.089,2.0999999999999996,0.0005199218749999983,0.22941681242199513,0.22941740156453916,3.3476100538256164,-0.05303403458367852,-0.038982411503726055,0.768,-0.831,1.599,0.04821745995355951,0.04850177339440282
4.062499999999934e-05,0.29422772176642253,0.29422772457103696,3.4055254359895706,-0.09392600974253765,0.26235615376287713,1.002,-1.149,2.151,0.0032625000000000024,0.26093564789761864,0.2609560427543306,4.724933697591252,0.004930456446416981,0.4187603387843919,1.233,-1.024,2.257,0.06075950148586419,0.04978681373696757
0.0015265624999999997,0.3009486201175935,0.30095249183841294,3.3526886381181753,-0.03468224773297692,0.3865618376302864,1.009,-1.271,2.28,0.0025542968749999993,0.2568949433048447,0.25690764163046026,3.2229481176391297,-0.0187348455283762,0.036616833471452725,0.828,-0.982,1.81,0.051951912309426286,0.04928500752958802
-0.0001867187499999999,0.29092042293358916,0.2909204828535626,3.0936288540845815,0.030149223858024175,-0.04734021699075708,0.9,-1.119,2.019,0.001446484375,0.26033979648927646,0.260343814893162,4.121472985407124,0.06952855929531163,0.1841276573100279,1.073,-0.817,1.89,0.06162312445026802,0.052817279715760126
0.003512109375,0.30478114177982374,0.3048013767962261,4.202736921547464,0.07816546754200861,0.2054227271704372,1.281,-1.08,2.3609999999999998,-0.00012226562499999954,0.27463455599758735,0.27463458321354034,3.6630492352006203,0.04758260400702404,0.1153340272193355,1.006,-1.081,2.0869999999999997,0.05882821677218686,0.05221037429919319
0.002236328125000002,0.339724345990087,0.3397317065301309,4.51827124314598,0.012797109669220789,0.09895558656989856,1.535,-1.382,2.917,0.00032929687499999843,0.2783918462871948,0.2783920410421695,3.49866323891229,0.06992569918180443,0.0358271992785375,0.974,-0.973,1.947,0.06252785498273267,0.050658541639357936
0.0037324218750000005,0.29947387700986877,0.29949713518558907,3.8364306866841997,-0.09796589666321907,0.2939144340748534,1.149,-1.094,2.2430000000000003,0.001157421874999999,0.2837971860263563,0.28379954619744374,4.20014766045717,0.06367234050951003,0.04310147738910741,1.192,-0.88,2.072,0.0723442512501226,0.05276162132271754
